AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO
2011;1;9;LICEO POLITECNICO ARICA;15;15101;Arica;2;0;463;0;0;5;2;0;0;0;0;7;0;0;11;7;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;5;0;0;9;3;0;0;0;0;12
2011;1;9;LICEO POLITECNICO ARICA;15;15101;Arica;2;0;510;75;105;149;162;0;0;0;0;491;44;73;4;14;0;0;0;0;135;54;33;41;29;0;0;0;0;157;20;23;0;0;0;0;0;0;43;13;10;10;10;0;0;0;0;43;10;5;0;1;0;0;0;0;16
2011;1;9;LICEO POLITECNICO ARICA;15;15101;Arica;2;0;563;15;0;27;20;0;0;0;0;62;13;0;2;1;0;0;0;0;16;8;0;15;2;0;0;0;0;25;1;0;0;0;0;0;0;0;1;34;0;56;7;0;0;0;0;97;30;0;2;0;0;0;0;0;32
2011;1;9;LICEO POLITECNICO ARICA;15;15101;Arica;2;0;610;0;0;6;5;0;0;0;0;11;0;0;80;71;0;0;0;0;151;0;0;1;2;0;0;0;0;3;0;0;19;18;0;0;0;0;37;0;0;0;1;0;0;0;0;1;0;0;3;5;0;0;0;0;8
2011;1;9;LICEO POLITECNICO ARICA;15;15101;Arica;2;0;663;0;0;2;1;0;0;0;0;3;0;0;55;84;0;0;0;0;139;0;0;1;0;0;0;0;0;1;0;0;3;1;0;0;0;0;4;0;0;2;4;0;0;0;0;6;0;0;57;14;0;0;0;0;71
2011;1;9;LICEO POLITECNICO ARICA;15;15101;Arica;2;0;863;0;0;1;4;0;0;0;0;5;0;0;9;8;0;0;0;0;17;0;0;2;0;0;0;0;0;2;0;0;3;0;0;0;0;0;3;0;0;1;1;0;0;0;0;2;0;0;8;1;0;0;0;0;9
2011;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;15101;Arica;2;1;165;177;54;44;0;0;0;0;0;275;41;12;29;0;0;0;0;0;82;8;1;13;0;0;0;0;0;22;2;1;6;0;0;0;0;0;9;27;31;21;0;0;0;0;0;79;7;11;17;0;0;0;0;0;35
2011;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;15101;Arica;2;1;167;0;36;46;0;0;0;0;0;82;0;23;23;0;0;0;0;0;46;0;1;5;0;0;0;0;0;6;0;1;1;0;0;0;0;0;2;0;11;9;0;0;0;0;0;20;0;3;3;0;0;0;0;0;6
2011;4;3;LICEO OCTAVIO PALMA PEREZ;15;15101;Arica;2;0;310;127;182;139;147;0;0;0;0;595;154;138;151;160;0;0;0;0;603;1;1;2;0;0;0;0;0;4;1;0;2;0;0;0;0;0;3;1;1;4;0;0;0;0;0;6;1;1;2;0;0;0;0;0;4
2011;5;1;JOVINA NARANJO FERNANDEZ;15;15101;Arica;2;0;110;16;11;14;8;17;17;51;14;148;10;10;8;10;19;12;41;15;125;1;1;0;0;0;0;1;2;5;1;0;0;0;0;0;0;2;3;0;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;1
