APR_HOM_TO;REP_HOM_TO;RET_HOM_TO
11;0;6
285;9;54
542;5;7
149;1;2
104;7;12
150;11;9
694;1;3
0;0;0
149;12;5
125;3;4
115;1;3
104;7;4
42;5;4
118;7;13
109;5;4
196;0;1
153;1;1
214;4;10
76;4;3
411;20;10
218;9;12
79;3;7
126;2;5
108;2;0
212;17;12
160;2;2
197;15;19
76;2;1
38;0;3
125;1;1
165;4;1
11;1;0
12;1;0
4;1;0
0;0;0
188;3;5
7;1;1
875;19;9
283;15;1
160;0;0
210;1;1
230;1;2
176;0;0
5;0;0
12;0;6
0;0;0
2;0;0
1;0;0
7;1;0
63;8;4
11;1;0
4;0;0
2;0;0
2;0;0
0;0;0
5;0;0
1;0;0
2;0;0
1;0;0
16;1;1
4;0;0
1;0;0
3;0;0
3;1;0
0;0;0
90;27;33
161;4;4
37;1;9
17;3;3
147;28;40
8;11;9
244;11;15
287;5;19
392;28;28
238;12;38
259;3;36
181;0;20
134;1;6
144;6;11
307;43;18
368;17;14
269;14;11
0;0;0
32;3;7
141;0;2
106;3;6
458;4;3
195;8;5
86;17;12
114;14;5
8;2;2
22;1;1
0;0;0
0;0;0
23;1;2
88;7;0
21;1;1
0;0;0
44;4;1
1;0;0
6;0;2
2;0;0
2;0;0
3;0;0
8;1;0
10;0;0
1;0;0
6;0;1
45;0;0
0;0;0
2;0;0
0;0;0
133;1;1
60;6;2
41;1;0
14;0;1
230;4;3
75;3;1
4;0;0
32;1;3
10;6;0
14;6;1
265;12;2
175;10;2
200;12;2
115;15;2
325;8;0
306;10;2
68;17;11
362;28;41
754;121;44
581;21;8
12;0;7
347;15;35
483;15;26
554;10;3
585;17;6
840;24;13
342;4;7
375;7;14
297;3;16
344;5;9
269;13;13
308;23;21
309;10;7
4;0;1
7;0;0
2;0;1
49;0;2
326;7;3
0;0;0
339;18;9
606;35;1
325;5;0
15;0;0
325;21;8
58;2;0
4;0;0
15;2;0
9;1;0
1;0;0
2;0;0
12;0;0
1170;164;14
37;2;3
3;1;6
84;38;12
180;5;27
165;27;25
69;7;15
22;3;0
608;8;4
583;33;3
262;4;10
553;38;17
343;14;16
296;15;15
329;19;5
181;6;9
188;13;20
376;8;1
462;26;9
170;2;4
230;12;6
268;10;12
444;25;8
168;4;0
182;5;10
534;28;21
109;0;0
429;13;2
215;17;8
209;7;7
150;11;6
153;18;12
163;6;7
129;18;10
349;11;2
376;11;0
259;3;1
311;7;0
287;4;3
270;5;0
244;12;2
33;0;0
122;2;0
301;9;1
474;1;0
0;0;0
223;0;2
214;0;1
225;3;2
312;7;0
192;25;7
289;16;5
12;0;0
51;1;2
24;0;0
57;4;3
38;1;0
219;1;2
253;1;1
21;3;0
117;1;2
108;3;3
75;3;0
156;5;0
68;2;0
340;7;4
21;3;0
297;4;3
102;1;3
217;30;9
12;3;6
184;107;47
89;1;0
345;18;5
343;17;8
261;43;14
265;19;10
186;50;24
495;11;4
275;26;7
305;15;11
120;21;5
347;4;0
379;23;4
367;11;2
365;6;1
448;17;9
152;7;1
538;16;4
122;5;2
199;5;1
625;9;1
0;0;0
0;0;0
361;16;1
345;8;0
120;6;0
28;9;5
1;0;0
291;13;0
99;3;2
184;3;0
191;15;2
28;0;0
4;2;0
7;2;0
293;18;7
652;28;12
128;2;4
374;1;0
126;2;1
282;16;4
124;9;0
64;3;0
319;12;3
3;0;0
6;1;0
5;1;0
32;1;0
8;0;0
16;1;0
262;4;0
202;6;0
154;7;2
12;0;0
15;0;0
13;2;0
7;0;0
117;26;12
135;2;1
159;6;0
141;0;0
72;0;1
4;0;0
12;0;0
3;0;0
3;0;0
84;0;0
2;0;0
3;1;0
1;0;0
3;1;0
6;0;0
4;0;0
5;0;0
0;0;0
22;2;0
0;0;0
393;14;5
158;2;0
1;0;0
175;15;12
230;9;8
157;10;1
213;14;6
0;0;0
190;27;5
121;10;0
29;8;9
60;4;11
158;17;5
142;14;2
93;18;3
44;0;2
48;4;2
62;1;0
49;1;1
40;1;0
55;20;4
4;1;0
1;0;0
37;0;0
3;0;0
7;0;0
68;2;1
75;1;0
9;0;0
40;7;0
6;2;2
65;3;3
2;0;0
3;0;0
240;13;7
113;11;5
295;3;0
157;6;0
128;7;0
129;3;1
287;31;1
0;0;0
14;5;3
393;6;0
422;15;0
190;9;1
252;21;0
181;9;0
206;2;0
87;0;0
113;1;0
230;6;0
225;3;0
35;1;0
93;9;7
12;0;0
50;5;2
55;1;1
18;1;0
9;0;0
7;0;0
234;9;1
800;113;7
105;24;28
119;20;4
220;8;1
177;5;1
85;11;10
284;10;6
114;9;10
252;14;15
140;12;7
99;16;6
80;4;1
231;10;13
68;6;1
186;13;2
168;12;9
167;1;0
149;2;3
24;1;0
3;0;1
2;0;0
17;3;0
1;0;0
16;0;0
57;2;0
37;1;0
16;1;0
1;0;0
352;20;1
112;10;3
237;5;0
349;8;1
170;2;1
174;10;0
113;9;1
102;1;0
6;1;0
6;0;0
242;0;0
52;17;14
174;22;5
109;9;3
43;7;0
66;0;1
66;1;1
97;7;1
8;0;0
5;2;0
25;0;0
35;3;0
13;2;0
57;3;2
7;0;0
15;0;0
5;0;0
7;0;0
1;0;0
234;6;2
88;0;0
77;0;2
6;0;0
1;0;0
11;0;0
9;0;0
3;0;0
11;5;7
71;0;0
1031;20;7
355;15;7
0;0;0
175;3;4
164;19;4
140;12;4
202;8;6
240;15;2
114;4;0
197;6;1
86;1;0
196;0;3
63;0;0
293;11;1
77;1;0
10;0;0
4;0;0
83;7;1
1;0;0
3;0;0
8;0;0
24;1;0
47;5;0
17;2;0
29;1;0
3;0;0
1;0;0
51;1;0
45;3;0
33;2;0
8;0;0
3;0;0
6;0;0
36;2;0
4;0;0
46;4;0
6;0;0
39;5;0
7;0;0
0;0;0
8;0;0
50;2;0
1;0;0
3;1;0
12;0;0
376;1;0
506;11;0
0;0;0
416;4;0
134;2;1
1;0;0
83;15;15
40;1;1
61;0;0
13;1;0
2;0;0
7;0;0
19;0;0
9;2;0
3;0;0
2;0;0
1;1;0
2;0;0
1;0;0
1;0;0
4;0;0
5;0;0
2;0;0
30;0;0
2;0;0
5;0;0
290;12;0
184;12;5
77;1;3
196;31;17
124;4;0
75;1;0
10;0;1
9;0;0
2;0;0
5;0;0
4;0;0
7;0;0
5;0;0
11;0;0
1;1;0
12;0;0
6;0;0
6;0;0
7;0;0
68;3;0
52;4;0
8;0;0
1;0;0
4;1;0
4;0;0
74;3;0
8;1;0
1;0;0
46;2;0
6;0;0
5;0;0
15;2;0
13;1;0
22;0;0
3;0;0
4;0;0
1;0;0
11;0;0
181;12;2
279;6;0
164;8;0
55;3;0
24;0;0
36;1;0
52;1;0
4;0;0
32;0;0
2;0;0
1;0;0
7;0;0
4;0;0
6;0;0
0;0;0
6;0;0
3;0;0
11;0;0
16;0;0
3;0;0
3;0;0
2;0;0
28;0;0
1;0;0
8;1;0
3;0;0
4;0;0
2;0;0
5;0;0
3;0;0
9;0;0
4;0;0
3;0;0
3;0;0
21;0;0
3;0;0
209;5;4
1;0;0
16;0;0
0;0;0
3;0;0
29;1;0
1;0;0
3;1;0
33;4;0
1;0;0
16;1;1
1;0;0
3;0;0
29;0;1
4;0;0
0;0;0
0;0;0
3;0;0
20;5;1
12;0;0
9;0;0
46;0;0
9;0;0
48;0;1
1;0;0
4;0;0
13;0;0
3;0;0
29;1;0
2;0;0
3;0;0
19;1;0
40;5;0
72;0;0
1;0;0
2;0;0
14;0;0
0;0;0
1;0;0
39;5;0
3;0;0
4;1;0
1;0;0
2;0;0
134;16;0
3;0;0
5;0;0
5;0;0
14;0;3
24;2;1
522;36;19
375;11;2
125;1;1
0;0;0
125;1;0
44;1;0
46;2;0
51;0;0
29;0;0
3;1;1
7;0;0
150;6;0
0;0;0
1;0;0
16;0;0
1;0;1
318;18;1
23;3;3
62;3;0
2;0;0
11;2;0
3;0;0
22;2;0
1;0;0
1;0;0
0;0;0
1;0;0
14;1;0
6;0;0
0;0;0
0;0;0
5;0;0
2;0;0
34;2;0
3;0;0
1;0;0
2;1;0
4;0;0
16;2;3
169;12;2
74;1;2
49;0;1
45;0;1
59;4;0
66;2;0
56;0;0
6;0;0
24;0;0
12;0;0
13;0;0
35;0;0
15;0;1
34;1;2
23;3;0
275;10;1
5;0;6
0;0;0
5;0;1
27;0;0
11;0;0
2;0;0
11;0;0
7;0;0
6;0;1
171;18;21
258;19;9
81;1;0
130;1;0
43;3;0
9;0;0
19;0;0
61;2;0
4;1;0
2;0;0
6;1;0
1;0;0
2;0;0
325;6;0
0;0;0
4;0;0
1;0;0
2;0;0
15;0;1
0;0;0
3;0;2
145;0;0
37;0;0
2;0;0
5;0;0
4;0;0
2;0;0
3;1;0
2;0;0
126;3;0
3;0;0
16;0;0
2;0;0
4;0;0
3;0;0
13;0;0
3;0;0
26;0;0
34;1;0
2;0;0
2;0;0
4;0;0
8;1;0
4;0;0
1;0;0
2;0;0
3;0;0
0;0;0
7;4;4
240;39;32
181;4;1
77;3;1
156;0;1
5;0;0
2;0;0
5;1;0
53;1;0
4;0;0
10;0;0
19;0;0
47;0;0
7;0;0
15;1;1
21;0;0
38;0;0
5;1;0
12;0;0
31;1;0
57;6;0
96;0;1
53;3;0
4;0;0
3;0;0
33;1;0
4;0;0
1;0;0
16;0;0
13;0;0
1;0;0
9;0;0
77;0;0
11;0;0
112;0;0
38;0;0
162;57;17
229;26;7
60;0;0
6;1;0
62;2;0
68;4;0
67;0;0
69;2;0
8;0;0
5;0;0
63;4;1
108;1;2
50;3;1
36;1;1
128;6;2
129;5;1
79;1;0
80;4;1
145;19;0
4;0;1
63;10;5
14;1;3
136;0;7
127;13;0
89;4;2
26;2;10
48;1;0
34;2;0
293;15;1
0;0;0
321;5;1
163;3;2
367;6;1
184;4;0
134;0;0
149;7;2
325;7;0
82;2;0
99;2;1
193;4;2
93;7;1
78;2;1
1;0;0
16;2;1
2;0;0
12;0;1
11;3;0
1;0;0
79;5;0
54;4;2
57;1;0
136;7;0
27;3;0
46;3;0
81;1;3
18;3;0
20;4;0
238;7;4
35;2;0
43;6;0
144;6;2
25;6;8
874;22;3
0;0;0
58;20;11
138;4;6
33;12;4
529;41;3
95;16;3
116;18;3
17;1;0
99;11;3
192;21;7
77;4;1
78;4;1
54;4;0
47;2;0
45;4;1
35;0;1
27;0;0
230;1;1
28;5;2
0;0;0
140;6;0
173;7;0
180;3;0
20;2;2
115;17;2
75;12;1
44;3;0
46;1;0
81;3;0
11;1;0
17;2;0
40;3;0
127;4;0
34;0;0
29;2;0
198;5;0
144;23;9
43;5;3
90;3;0
24;2;0
34;1;0
21;2;0
36;1;0
195;7;0
56;1;0
74;8;0
40;3;0
51;5;0
52;5;1
173;12;24
250;7;3
66;3;3
63;0;0
115;7;0
86;5;0
80;1;0
21;2;0
18;0;0
0;0;1
13;0;0
29;0;0
132;11;0
131;3;1
268;2;0
134;18;3
67;5;1
136;22;7
9;3;1
60;6;1
62;2;1
39;2;0
156;4;4
24;7;1
93;30;21
130;8;1
156;35;8
0;0;0
0;0;0
133;54;13
198;9;6
296;11;1
175;19;8
116;14;2
96;2;1
90;19;4
88;19;3
29;2;3
44;0;3
30;1;1
24;0;0
138;3;1
74;6;4
274;32;1
818;34;1
8;5;2
87;7;2
442;0;0
173;19;1
121;6;0
45;1;0
77;9;1
116;6;1
61;3;2
22;2;0
29;1;0
122;5;1
38;16;5
87;3;5
118;6;1
127;9;0
73;5;0
9;2;7
89;11;0
79;6;0
59;1;3
263;6;2
0;0;0
87;8;6
46;1;1
57;2;0
759;68;25
137;8;1
148;0;4
187;5;2
35;1;0
240;13;2
230;16;1
217;18;3
58;3;1
66;5;2
34;0;0
58;7;0
64;1;0
56;0;1
8;0;0
27;0;0
15;2;0
90;22;22
166;6;1
163;7;3
83;14;8
142;8;1
39;4;3
107;3;0
16;0;1
100;18;0
17;0;0
148;4;0
85;13;1
110;4;0
173;9;0
0;0;0
307;7;4
149;3;0
74;39;5
76;9;0
56;7;0
16;0;0
1;0;0
37;0;0
5;0;0
29;0;0
211;5;2
464;45;18
587;37;6
3;4;2
44;7;7
61;28;96
42;10;4
125;13;3
434;63;17
133;4;1
95;4;15
83;12;3
265;7;21
31;0;0
0;0;0
70;5;5
72;9;5
114;1;3
89;17;1
208;25;17
764;53;6
0;0;1
0;0;0
74;1;1
61;9;2
119;15;1
209;10;7
79;18;1
116;4;2
72;11;8
193;22;1
75;4;2
70;9;2
88;1;0
59;15;6
39;4;2
55;2;1
85;5;2
176;0;0
153;4;2
71;10;2
116;13;1
81;6;3
43;4;1
99;2;1
50;3;0
203;4;1
228;15;0
134;9;0
1;6;1
230;36;2
74;1;1
82;0;0
658;8;3
241;13;2
132;17;4
315;9;1
390;13;0
86;5;0
152;8;0
108;19;0
89;2;1
191;9;1
94;7;0
152;0;1
254;27;5
95;13;2
120;2;0
178;17;3
86;5;2
208;16;6
143;8;0
92;7;0
70;0;1
298;0;0
62;1;0
247;2;0
112;0;0
94;0;1
150;2;0
21;3;0
129;3;0
59;0;0
62;0;0
127;43;12
282;38;45
10;2;14
135;3;3
159;47;24
42;22;9
173;29;19
27;4;0
0;0;0
113;11;2
91;5;2
21;3;1
342;16;7
169;11;4
278;33;4
222;35;18
126;5;1
147;7;2
202;6;10
69;5;1
106;13;2
97;6;1
85;5;0
146;28;2
92;7;0
63;22;6
104;3;3
88;16;0
113;3;1
99;8;0
266;13;1
158;7;6
81;7;2
16;2;9
90;9;2
44;4;3
169;8;3
104;7;2
104;9;3
93;5;1
0;0;0
144;15;4
43;0;0
610;19;1
211;8;0
101;5;0
63;0;2
163;3;0
139;9;4
