APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO
11;6;0;2;6;8
285;56;9;7;54;24
542;640;5;3;7;3
149;99;1;0;2;3
104;151;7;1;12;18
150;115;11;8;9;3
694;597;1;1;3;2
0;205;0;7;0;6
149;140;12;5;5;0
125;132;3;1;4;3
115;106;1;0;3;3
104;79;7;2;4;2
42;22;5;4;4;2
118;49;7;4;13;7
109;115;5;3;4;0
196;159;0;2;1;3
153;152;1;3;1;1
214;156;4;5;10;1
76;65;4;3;3;2
411;399;20;9;10;3
218;169;9;5;12;9
79;69;3;1;7;1
126;74;2;0;5;6
108;122;2;1;0;0
212;174;17;9;12;8
160;151;2;6;2;1
197;161;15;10;19;11
76;70;2;0;1;0
38;25;0;0;3;1
125;125;1;3;1;1
165;181;4;1;1;1
11;16;1;1;0;5
12;8;1;0;0;0
4;3;1;1;0;0
0;554;0;6;0;3
188;177;3;4;5;3
7;9;1;0;1;1
875;944;19;13;9;10
283;270;15;3;1;0
160;152;0;0;0;0
210;219;1;4;1;1
230;207;1;1;2;0
176;171;0;1;0;0
5;4;0;0;0;0
12;16;0;0;6;1
0;2;0;0;0;0
2;5;0;0;0;0
1;0;0;0;0;0
7;6;1;0;0;1
63;64;8;4;4;6
11;8;1;0;0;0
4;3;0;0;0;0
2;2;0;0;0;0
2;3;0;0;0;0
0;2;0;0;0;0
5;1;0;0;0;0
1;1;0;0;0;0
2;0;0;0;0;0
1;0;0;0;0;0
16;18;1;1;1;6
4;2;0;0;0;0
1;2;0;0;0;0
3;1;0;0;0;0
3;0;1;1;0;0
0;1;0;0;0;0
90;218;27;32;33;30
161;201;4;0;4;1
37;12;1;1;9;2
17;12;3;1;3;1
147;36;28;15;40;17
8;31;11;4;9;8
244;295;11;1;15;10
287;198;5;6;19;20
392;295;28;21;28;22
238;175;12;3;38;25
259;237;3;7;36;15
181;162;0;0;20;12
134;116;1;0;6;3
144;131;6;1;11;5
307;250;43;29;18;18
368;324;17;9;14;10
269;206;14;5;11;9
0;577;0;2;0;5
32;30;3;1;7;6
141;117;0;1;2;2
106;79;3;3;6;2
458;445;4;1;3;0
195;200;8;3;5;0
86;72;17;10;12;8
114;102;14;12;5;1
8;10;2;0;2;2
22;14;1;3;1;0
0;1;0;0;0;0
0;3;0;0;0;0
23;11;1;0;2;0
88;71;7;2;0;3
21;14;1;1;1;0
0;2;0;0;0;0
44;37;4;1;1;0
1;3;0;0;0;0
6;4;0;0;2;1
2;1;0;0;0;0
2;1;0;0;0;0
3;3;0;0;0;0
8;4;1;0;0;0
10;11;0;0;0;0
1;2;0;0;0;0
6;2;0;0;1;2
45;43;0;1;0;0
0;1;0;0;0;0
2;4;0;0;0;0
0;3;0;0;0;0
133;107;1;2;1;2
60;55;6;2;2;4
41;70;1;3;0;0
14;24;0;0;1;2
230;227;4;2;3;4
75;97;3;2;1;3
4;8;0;0;0;0
32;14;1;0;3;2
10;7;6;5;0;1
14;126;6;5;1;2
265;224;12;4;2;0
175;180;10;1;2;3
200;168;12;9;2;1
115;108;15;3;2;1
325;311;8;6;0;0
306;279;10;7;2;0
68;89;17;12;11;5
362;324;28;16;41;38
754;141;121;26;44;13
581;525;21;14;8;5
12;18;0;0;7;7
347;276;15;9;35;20
483;437;15;8;26;31
554;454;10;11;3;4
585;548;17;6;6;2
840;747;24;13;13;23
342;301;4;4;7;16
375;273;7;3;14;6
297;248;3;2;16;14
344;347;5;0;9;10
269;260;13;7;13;14
308;290;23;10;21;15
309;264;10;4;7;2
4;2;0;0;1;0
7;4;0;0;0;0
2;3;0;0;1;0
49;33;0;0;2;1
326;304;7;2;3;2
0;737;0;18;0;4
339;308;18;13;9;6
606;478;35;22;1;0
325;313;5;1;0;1
15;9;0;0;0;0
325;320;21;10;8;7
58;54;2;1;0;0
4;6;0;0;0;0
15;12;2;0;0;0
9;15;1;0;0;0
1;1;0;0;0;0
2;2;0;0;0;0
12;11;0;1;0;1
1170;465;164;47;14;6
37;75;2;2;3;1
3;7;1;0;6;0
84;678;38;114;12;40
180;143;5;8;27;26
165;221;27;11;25;20
69;54;7;3;15;13
22;40;3;2;0;0
608;566;8;3;4;6
583;503;33;16;3;5
262;240;4;1;10;7
553;503;38;24;17;1
343;328;14;8;16;16
296;278;15;12;15;8
329;294;19;2;5;6
181;137;6;5;9;3
188;149;13;0;20;16
376;382;8;4;1;2
462;456;26;8;9;2
170;158;2;0;4;1
230;222;12;4;6;2
268;211;10;6;12;8
444;409;25;11;8;12
168;155;4;5;0;2
182;142;5;7;10;7
534;463;28;21;21;7
109;99;0;0;0;0
429;390;13;11;2;1
215;251;17;10;8;3
209;184;7;3;7;10
150;117;11;3;6;1
153;128;18;5;12;7
163;123;6;3;7;7
129;147;18;18;10;8
349;404;11;8;2;4
376;384;11;10;0;0
259;263;3;2;1;0
311;320;7;4;0;0
287;289;4;4;3;2
270;350;5;8;0;2
244;319;12;4;2;1
33;9;0;1;0;1
122;77;2;2;0;0
301;338;9;8;1;2
474;33;1;0;0;0
0;320;0;1;0;0
223;240;0;0;2;3
214;212;0;0;1;1
225;265;3;8;2;0
312;323;7;0;0;0
192;157;25;8;7;9
289;309;16;6;5;5
12;17;0;0;0;1
51;51;1;1;2;0
24;30;0;0;0;0
57;39;4;2;3;3
38;57;1;0;0;0
219;196;1;4;2;2
253;261;1;2;1;4
21;29;3;0;0;0
117;172;1;3;2;0
108;72;3;2;3;0
75;68;3;1;0;1
156;137;5;0;0;2
68;108;2;0;0;1
340;285;7;6;4;0
21;13;3;0;0;0
297;310;4;2;3;2
102;99;1;5;3;0
217;518;30;37;9;29
12;2;3;0;6;0
184;187;107;72;47;27
89;127;1;2;0;0
345;341;18;15;5;1
343;283;17;14;8;6
261;202;43;18;14;11
265;211;19;9;10;6
186;158;50;27;24;12
495;403;11;5;4;1
275;208;26;3;7;2
305;215;15;7;11;1
120;96;21;12;5;2
347;374;4;3;0;1
379;240;23;2;4;2
367;304;11;6;2;2
365;341;6;2;1;4
448;378;17;8;9;2
152;141;7;1;1;1
538;396;16;6;4;3
122;83;5;2;2;1
199;140;5;0;1;0
625;546;9;3;1;1
0;697;0;13;0;2
0;539;0;8;0;5
361;265;16;3;1;0
345;287;8;8;0;0
120;205;6;3;0;1
28;32;9;7;5;5
1;2;0;0;0;1
291;304;13;7;0;0
99;83;3;3;2;2
184;146;3;1;0;0
191;155;15;8;2;3
28;22;0;0;0;1
4;14;2;1;0;0
7;8;2;0;0;0
293;468;18;20;7;10
652;268;28;6;12;9
128;94;2;4;4;2
374;309;1;1;0;1
126;113;2;0;1;1
282;217;16;8;4;1
124;84;9;9;0;3
64;53;3;1;0;3
319;256;12;6;3;2
3;6;0;1;0;1
6;4;1;1;0;0
